Player Name,Salary (Millions USD),Position,Age,Birthdate,Team,GP,PTS,RBS,AST,STL,BLK,TOV,Total Minutes
Joel Embiid,33616770,C,28,16/03/1994,Philadelphia 76ers,66,33.1,10.2,4.2,1,1.7,3.4,2284
CJ McCollum,33333333,SG,31,19/09/1991,New Orleans Pelicans,75,20.9,4.4,5.7,0.9,0.5,2.4,2649
James Harden,33000000,PG,33,26/08/1989,Philadelphia 76ers,58,21,6.1,10.7,1.2,0.5,3.4,2135
Jamal Murray,31650600,PG,25,23/02/1997,Denver Nuggets,65,20,4,6.2,1,0.2,2.2,2133
Brandon Ingram,31650600,SF,25,02/09/1997,New Orleans Pelicans,45,24.7,5.5,5.8,0.7,0.4,3.3,1538
D'Angelo Russell,31377750,PG,26,23/02/1996,Los Angeles Lakers,71,17.8,3,6.2,1,0.4,2.6,2304
Donovan Mitchell,30913750,SG,26,07/09/1996,Cleveland Cavaliers,68,28.3,4.3,4.4,1.5,0.4,2.6,2432
Shai Gilgeous-Alexander,30913750,PG,24,12/07/1998,Oklahoma City Thunder,68,31.4,4.8,5.5,1.6,1,2.8,2416
Deandre Ayton,30913750,C,24,23/07/1998,Phoenix Suns,67,18,10,1.7,0.6,0.8,1.8,2035
Kevin Love,30556968,PF,34,07/09/1988,Miami Heat,62,8.2,6.4,1.9,0.3,0.2,1.1,1240
Jayson Tatum,30351780,SF,24,03/03/1998,Boston Celtics,74,30.1,8.8,4.6,1.1,0.7,2.9,2732
Bam Adebayo,30351780,C,25,18/07/1997,Miami Heat,75,20.4,9.2,3.2,1.2,0.8,2.5,2598
De'Aaron Fox,30351780,PG,25,20/12/1997,Sacramento Kings,73,25,4.2,6.1,1.1,0.3,2.5,2435
Gordon Hayward,30075000,SF,32,23/03/1990,Charlotte Hornets,50,14.7,4.3,4.1,0.8,0.2,2,1577
Jaylen Brown,29776785,SF,26,24/10/1996,Boston Celtics,67,26.6,6.9,3.5,1.1,0.4,2.9,2405
Chris Paul,28400000,PG,37,06/05/1985,Phoenix Suns,59,13.9,4.3,8.9,1.5,0.4,1.9,1889
Kyle Lowry,28333334,PG,36,25/03/1986,Miami Heat,55,11.2,4.1,5.1,1,0.4,1.9,1718
Jalen Brunson,27733332,PG,26,31/08/1996,New York Knicks,68,24,3.5,6.2,0.9,0.2,2.1,2379
DeMar DeRozan,27300000,SF,33,07/08/1989,Chicago Bulls,74,24.5,4.6,5.1,1.1,0.5,2.1,2682
Al Horford,26500000,C,36,03/06/1986,Boston Celtics,63,9.8,6.2,3,0.5,1,0.6,1922
Draymond Green,25806468,PF,32,04/03/1990,Golden State Warriors,73,8.5,7.2,6.8,1,0.8,2.8,2297
Julius Randle,23760000,PF,28,29/11/1994,New York Knicks,77,25.1,10,4.1,0.6,0.3,2.8,2737
John Collins,23500000,PF,25,23/09/1997,Atlanta Hawks,71,13.1,6.5,1.2,0.6,1,1.1,2130
Mike Conley,22680000,PG,35,11/10/1987,Minnesota Timberwolves,67,11.9,2.7,6.7,1.1,0.2,1.5,2029
Malcolm Brogdon,22600000,PG,30,11/12/1992,Boston Celtics,67,14.9,4.2,3.7,0.7,0.3,1.5,1744
Anfernee Simons,22321429,SG,23,08/06/1999,Portland Trail Blazers,62,21.1,2.6,4.1,0.7,0.2,2.1,2171
Terry Rozier,21486316,SG,28,17/03/1994,Charlotte Hornets,63,21.1,4.1,5.1,1.2,0.3,2.1,2221
Fred VanVleet,21250000,PG,28,25/02/1994,Toronto Raptors,69,19.3,4.1,7.2,1.8,0.6,2,2535
Buddy Hield,21177750,SF,30,17/12/1992,Indiana Pacers,80,16.8,5,2.8,1.2,0.3,1.7,2482
Domantas Sabonis,21100000,C,26,03/05/1996,Sacramento Kings,79,19.1,12.3,7.3,0.8,0.5,2.9,2736
Jerami Grant,20955000,PF,28,12/03/1994,Portland Trail Blazers,63,20.5,4.5,2.4,0.8,0.8,1.8,2246
Aaron Gordon,20690909,PF,27,16/09/1995,Denver Nuggets,68,16.3,6.6,3,0.8,0.8,1.4,2055
Mikal Bridges,20100000,SF,26,30/08/1996,Brooklyn Nets,83,20.1,4.4,3.3,1.1,0.7,1.5,2963
Jarrett Allen,20000000,C,24,21/04/1998,Cleveland Cavaliers,68,14.3,9.8,1.7,0.8,1.2,1.4,2220
Nicolas Batum,19700319,PF,34,14/12/1988,Los Angeles Clippers,78,6.1,3.8,1.6,0.7,0.6,0.6,1709
Eric Gordon,19568360,SG,34,25/12/1988,Houston Rockets,69,12.4,1.9,2.7,0.6,0.4,1.5,1965
Spencer Dinwiddie,19500000,SG,29,06/04/1993,Brooklyn Nets,79,17.3,3.4,6.5,0.8,0.3,1.8,2725
Caris LeVert,18796296,SG,28,25/08/1994,Cleveland Cavaliers,74,12.1,3.8,3.9,1,0.3,1.6,2237
Joe Harris,18642857,SF,31,06/09/1991,Brooklyn Nets,74,7.6,2.2,1.4,0.5,0.2,0.6,1527
Harrison Barnes,18352273,PF,30,30/05/1992,Sacramento Kings,82,15,4.5,1.6,0.7,0.1,1,2662
Clint Capela,18206896,C,28,18/05/1994,Atlanta Hawks,65,12,11,0.9,0.7,1.2,0.8,1730
Evan Fournier,18000000,SG,30,29/10/1992,New York Knicks,27,6.1,1.8,1.3,0.6,0.1,0.8,459
Steven Adams,17926829,C,29,20/07/1993,Memphis Grizzlies,42,8.6,11.5,2.3,0.9,1.1,1.9,1133
Jonathan Isaac,17400000,PF,25,03/10/1997,Orlando Magic,11,5,4,0.5,1.3,0.4,0.4,124
OG Anunoby,17357143,SF,25,17/07/1997,Toronto Raptors,67,16.8,5,2,1.9,0.7,2,2386
Marcus Smart,17207142,PG,28,06/03/1994,Boston Celtics,61,11.5,3.1,6.3,1.5,0.4,2.3,1957
Derrick White,17142857,SG,28,02/07/1994,Boston Celtics,82,12.4,3.6,3.9,0.7,0.9,1.2,2319
Dejounte Murray,17071120,SG,26,19/09/1996,Atlanta Hawks,74,20.5,5.3,6.1,1.5,0.3,2.2,2693
Mitchell Robinson,17045454,C,24,01/04/1998,New York Knicks,59,7.4,9.4,0.9,0.9,1.8,0.7,1591
Duncan Robinson,16902000,SF,28,22/04/1994,Miami Heat,42,6.4,1.6,1.1,0.3,0,0.7,691
Norman Powell,16758621,SG,29,25/05/1993,Los Angeles Clippers,60,17,2.9,1.8,0.8,0.3,1.7,1567
Collin Sexton,16700000,PG,24,04/01/1999,Utah Jazz,48,14.3,2.2,2.9,0.6,0.1,1.8,1145
Markelle Fultz,16500000,PG,24,29/05/1998,Orlando Magic,60,14,3.9,5.7,1.5,0.4,2.3,1778
Lauri Markkanen,16475454,PF,25,22/05/1997,Utah Jazz,66,25.6,8.6,1.9,0.6,0.6,1.9,2273
Marcus Morris,16372093,PF,33,02/09/1989,Los Angeles Clippers,65,11.2,4,1.8,0.6,0.3,0.9,1825
Malik Beasley,15558035,SG,26,26/11/1996,Los Angeles Lakers,81,12.7,3.5,1.5,0.8,0.1,1.1,2093
Luguentz Dort,15277778,SF,23,19/04/1999,Oklahoma City Thunder,74,13.7,4.6,2.1,1,0.3,1.2,2272
Will Barton,15059712,SG,32,06/01/1991,Washington Wizards,56,6.8,2.4,2,0.5,0.2,0.9,993
Tyus Jones,15000000,PG,26,10/05/1996,Memphis Grizzlies,80,10.3,2.5,5.2,1,0.1,0.9,1940
Derrick Rose,14520730,PG,34,04/10/1988,New York Knicks,27,5.6,1.5,1.7,0.3,0.2,0.8,338
Kevin Huerter,14508929,SG,24,27/08/1998,Sacramento Kings,75,15.2,3.3,2.9,1.1,0.3,1.3,2203
Christian Wood,14317459,C,27,27/09/1995,Dallas Mavericks,67,16.6,7.3,1.8,0.4,1.1,1.8,1738
Kentavious Caldwell-Pope,14004703,SG,29,18/02/1993,Denver Nuggets,76,10.8,2.7,2.4,1.5,0.5,1.1,2381
Brook Lopez,13906976,C,34,01/04/1988,Milwaukee Bucks,78,15.9,6.7,1.3,0.5,2.5,1.4,2373
Patrick Beverley,13801614,SG,34,12/07/1988,Los Angeles Lakers,67,6.2,3.7,2.9,0.9,0.6,0.9,1816
Doug McDermott,13750000,SF,31,03/01/1992,San Antonio Spurs,64,10.2,2.2,1.4,0.2,0.1,0.9,1314
Luke Kennard,13745455,SG,26,24/06/1996,Los Angeles Clippers,59,9.3,2.7,1.5,0.5,0.1,0.8,1315
Zion Williamson,13534817,PF,22,06/07/2000,New Orleans Pelicans,29,26,7,4.6,1.1,0.6,3.4,956
Jordan Clarkson,13340000,SG,30,07/06/1992,Utah Jazz,61,20.8,4,4.4,0.5,0.2,3,1988
Gary Harris,13000000,SG,28,14/09/1994,Orlando Magic,48,8.3,2,1.2,0.9,0.3,0.6,1184
Kyle Kuzma,13000000,PF,27,24/07/1995,Washington Wizards,64,21.2,7.2,3.7,0.6,0.5,3,2239
Josh Hart,12960000,SF,27,06/03/1995,New York Knicks,76,9.8,7.8,3.8,1.2,0.3,1.5,2454
Dorian Finney-Smith,12939848,PF,29,04/05/1993,Brooklyn Nets,66,8.3,4.8,1.5,0.8,0.5,0.9,2009
Kelly Olynyk,12804878,C,31,19/04/1991,Utah Jazz,68,12.5,6.2,3.7,0.9,0.5,2.5,1942
Chris Boucher,12690000,PF,30,11/01/1993,Toronto Raptors,76,9.4,5.5,0.4,0.6,0.8,0.5,1523
Robert Covington,12307692,PF,32,14/12/1990,Los Angeles Clippers,48,6,3.5,1.2,0.8,0.7,0.7,779
Josh Richardson,12196094,SG,29,15/09/1993,New Orleans Pelicans,65,10.1,2.7,2.7,1.1,0.3,1.3,1530
Ja Morant,12119440,PG,23,10/08/1999,Memphis Grizzlies,61,26.2,5.9,8.1,1.1,0.3,3.4,1948
Danny Green,11710528,SG,35,22/06/1987,Cleveland Cavaliers,11,5.5,1.3,0.5,0.5,0.3,0.9,138
Terrence Ross,11500000,SG,31,05/02/1991,Orlando Magic,63,8.3,2.4,1.5,0.6,0.2,0.7,1330
Reggie Jackson,11457217,PG,32,16/04/1990,Denver Nuggets,68,10.2,2.1,3.4,0.7,0.1,1.7,1657
Dillon Brooks,11400000,SF,27,22/01/1996,Memphis Grizzlies,73,14.3,3.3,2.6,0.9,0.2,1.4,2214
Richaun Holmes,11215260,C,29,15/10/1993,Sacramento Kings,42,3.1,1.9,0.2,0.1,0.3,0.3,348
Dwight Powell,11080125,C,31,20/07/1991,Dallas Mavericks,76,6.7,4.1,0.9,0.6,0.3,0.9,1458
Paolo Banchero,11055120,PF,20,12/11/2002,Orlando Magic,72,20,6.9,3.7,0.8,0.5,2.8,2430
RJ Barrett,10900634,SG,22,14/06/2000,New York Knicks,73,19.6,5,2.8,0.4,0.2,2.2,2475
Bobby Portis,10843350,PF,27,10/02/1995,Milwaukee Bucks,70,14.1,9.6,1.5,0.4,0.2,1.2,1818
DeAndre Jordan,10733758,C,34,21/07/1988,Denver Nuggets,39,5.1,5.2,0.9,0.3,0.6,1.2,586
Anthony Edwards,10733400,SG,21,05/08/2001,Minnesota Timberwolves,79,24.6,5.8,4.4,1.6,0.7,3.3,2842
Robert Williams,10714287,C,25,17/10/1997,Boston Celtics,35,8,8.3,1.4,0.6,1.4,1,824
Cade Cunningham,10552800,PG,21,25/09/2001,Detroit Pistons,12,19.9,6.2,6,0.8,0.6,3.3,400
Mo Bamba,10300000,C,24,12/05/1998,Los Angeles Lakers,49,6.6,4.6,0.9,0.3,0.9,0.6,769
Talen Horton-Tucker,10260000,SG,22,25/11/2000,Utah Jazz,65,10.7,3.2,3.8,0.6,0.4,1.9,1313
Jae Crowder,10183800,PF,32,06/07/1990,Milwaukee Bucks,18,6.9,3.8,1.5,0.7,0.3,0.4,340
Ivica Zubac,10123457,C,25,18/03/1997,Los Angeles Clippers,76,10.8,9.9,1,0.4,1.3,1.5,2170
Reggie Bullock,10012800,SF,31,16/03/1991,Dallas Mavericks,78,7.2,3.6,1.4,0.7,0.2,0.5,2364
Alec Burks,10012800,SG,31,20/07/1991,Detroit Pistons,51,12.8,3.1,2.2,0.7,0.2,1.1,1122
De'Andre Hunter,9835881,SF,25,02/12/1997,Atlanta Hawks,67,15.4,4.2,1.4,0.5,0.3,1.2,2126
James Wiseman,9603360,C,21,31/03/2001,Golden State Warriors,45,10,5.9,0.7,0.2,0.6,1.1,867
Landry Shamet,9500000,SG,25,13/03/1997,Phoenix Suns,40,8.7,1.7,2.3,0.7,0.1,0.9,807
Malik Monk,9472219,SG,24,04/02/1998,Sacramento Kings,77,13.5,2.6,3.9,0.6,0.3,1.9,1719
Jalen Green,9441840,SG,20,09/02/2002,Houston Rockets,76,22.1,3.7,3.7,0.8,0.2,2.6,2602
Jakob Poeltl,9398148,C,27,15/10/1995,San Antonio Spurs,72,12.5,9.1,2.7,0.9,1.2,1.7,1906
Nerlens Noel,9391069,C,28,10/04/1994,Brooklyn Nets,17,2.1,2.7,0.6,0.9,0.6,0.8,195
Royce O'Neale,9200000,SF,29,05/06/1993,Brooklyn Nets,76,8.8,5.1,3.7,0.9,0.6,1.5,2409
Monte Morris,9125000,PG,27,27/06/1995,Washington Wizards,62,10.3,3.4,5.3,0.7,0.2,1,1695
Mason Plumlee,9080417,C,32,05/03/1990,Los Angeles Clippers,79,10.8,8.9,3.1,0.6,0.6,1.5,2054
Alex Caruso,9030000,PG,28,28/02/1994,Chicago Bulls,67,5.6,2.9,2.9,1.5,0.7,1.1,1575
Maxi Kleber,9000000,PF,31,29/01/1992,Dallas Mavericks,37,5.9,3.6,1.4,0.3,0.8,0.7,930
Grayson Allen,8925000,SG,27,08/10/1995,Milwaukee Bucks,72,10.4,3.3,2.3,0.9,0.2,1,1972
Darius Garland,8920794,PG,23,26/01/2000,Cleveland Cavaliers,69,21.6,2.7,7.8,1.2,0.1,2.9,2447
Isaiah Hartenstein,8854879,C,24,05/05/1998,New York Knicks,82,5,6.5,1.2,0.6,0.8,0.8,1626
Kyle Anderson,8780488,PF,29,20/09/1993,Minnesota Timberwolves,69,9.4,5.3,4.9,1.1,0.9,1.5,1957
Victor Oladipo,8750000,SG,30,04/05/1992,Miami Heat,42,10.7,3,3.5,1.4,0.3,2.1,1106
Daniel Theis,8694369,C,30,04/04/1992,Indiana Pacers,7,7,3.1,1.3,0.3,0.9,0.4,109
LaMelo Ball,8623920,PG,21,22/08/2001,Charlotte Hornets,36,23.3,6.4,8.4,1.3,0.3,3.6,1268
Seth Curry,8496653,SG,32,23/08/1990,Brooklyn Nets,61,9.2,1.6,1.6,0.6,0.1,0.8,1211
Evan Mobley,8478720,PF,21,18/06/2001,Cleveland Cavaliers,79,16.2,9,2.8,0.8,1.5,1.8,2715
Gary Payton II,8300000,SG,30,01/12/1992,Golden State Warriors,22,4.6,3.1,1.4,1,0.2,0.7,367
Dewayne Dedmon,8283688,C,33,12/08/1989,Philadelphia 76ers,38,5.2,3.5,0.7,0.2,0.5,0.7,426
De'Anthony Melton,8250000,SG,24,28/05/1998,Philadelphia 76ers,77,10.1,4.1,2.6,1.6,0.5,1.3,2150
JaMychal Green,8200000,PF,32,21/06/1990,Golden State Warriors,57,6.4,3.6,0.9,0.4,0.4,0.9,797
Keegan Murray,8008440,SF,22,19/08/2000,Sacramento Kings,80,12.2,4.6,1.2,0.8,0.5,0.8,2382
Kevon Looney,8000000,C,26,06/02/1996,Golden State Warriors,82,7,9.3,2.5,0.6,0.6,0.5,1958
Thaddeus Young,8000000,PF,34,21/06/1988,Toronto Raptors,54,4.4,3.1,1.4,1,0.1,0.8,795
Delon Wright,7804878,PG,30,26/04/1992,Washington Wizards,50,7.4,3.6,3.9,1.8,0.3,0.9,1221
Patrick Williams,7775400,PF,21,26/08/2001,Chicago Bulls,82,10.2,4,1.2,0.9,0.9,1.2,2323
Scottie Barnes,7644600,SF,21,01/08/2001,Toronto Raptors,77,15.3,6.6,4.8,1.1,0.8,2,2678
Cedi Osman,7426088,SF,27,08/04/1995,Cleveland Cavaliers,77,8.7,2.3,1.5,0.5,0.1,0.7,1548
Coby White,7413955,SG,22,16/02/2000,Chicago Bulls,74,9.7,2.9,2.8,0.7,0.1,1,1730
Zach Collins,7350000,C,25,19/11/1997,San Antonio Spurs,63,11.6,6.4,2.9,0.6,0.8,2,1441
Jaden Ivey,7252200,SG,20,13/02/2002,Detroit Pistons,74,16.3,3.9,5.2,0.8,0.2,3.2,2304
Taurean Prince,7100000,PF,28,22/03/1994,Minnesota Timberwolves,54,9.1,2.4,1.6,0.5,0.3,1.3,1192
Jae'Sean Tate,7065217,SF,27,28/10/1995,Houston Rockets,31,9.1,3.8,2.7,0.7,0.2,1.5,677
Isaac Okoro,7040880,SF,22,26/01/2001,Cleveland Cavaliers,76,6.4,2.5,1.1,0.7,0.4,0.6,1652
Cody Martin,7000000,SF,27,28/09/1995,Charlotte Hornets,7,5,3.4,1.6,0.6,0.1,0.3,134
Jalen Suggs,6922320,SG,21,03/06/2001,Orlando Magic,53,9.9,3,2.9,1.3,0.5,1.8,1246
Jaxson Hayes,6803012,C,22,23/05/2000,New Orleans Pelicans,47,5,2.8,0.7,0.4,0.4,0.7,610
Khem Birch,6667500,C,30,28/09/1992,Toronto Raptors,20,2.2,1.3,0.4,0.3,0.3,0.4,162
Bennedict Mathurin,6586800,SG,20,19/06/2002,Indiana Pacers,78,16.7,4.1,1.5,0.6,0.2,1.9,2222
Bruce Brown,6479000,SF,26,15/08/1996,Denver Nuggets,80,11.5,4.1,3.4,1.1,0.6,1.5,2280
Caleb Martin,6479000,SF,27,28/09/1995,Miami Heat,71,9.6,4.8,1.6,1,0.4,1.1,2077
Joe Ingles,6479000,SF,35,02/10/1987,Milwaukee Bucks,46,6.9,2.8,3.3,0.7,0.1,1.2,1044
Onyeka Okongwu,6395160,C,22,11/12/2000,Atlanta Hawks,80,9.9,7.2,1,0.7,1.3,1,1849
Josh Giddey,6287400,PF,20,10/10/2002,Oklahoma City Thunder,76,16.6,7.9,6.2,0.8,0.4,2.8,2367
Rui Hachimura,6263188,PF,24,08/02/1998,Los Angeles Lakers,63,11.2,4.5,0.9,0.3,0.4,0.8,1466
Rudy Gay,6184500,PF,36,17/08/1986,Utah Jazz,56,5.2,2.9,1,0.3,0.3,0.7,816
Jevon Carter,6025000,PG,27,14/09/1995,Milwaukee Bucks,81,8,2.5,2.4,0.8,0.4,1,1810
Shaedon Sharpe,6012960,SG,19,30/05/2003,Portland Trail Blazers,80,9.9,3,1.2,0.5,0.3,1,1779
Cameron Payne,6000000,PG,28,08/08/1994,Phoenix Suns,48,10.3,2.2,4.5,0.7,0.2,1.7,968
Justin Holiday,5987975,SF,33,05/04/1989,Dallas Mavericks,46,4.5,1.2,0.9,0.4,0.4,0.5,706
Cam Reddish,5954454,SF,23,01/09/1999,New York Knicks,40,9.7,2.2,1.4,1,0.4,1.2,990
Cameron Johnson,5887899,PF,26,03/03/1996,Brooklyn Nets,42,15.5,4.4,1.9,1.2,0.3,0.9,1199
Ricky Rubio,5853659,PG,32,21/10/1990,Cleveland Cavaliers,33,5.2,2.1,3.5,0.8,0.2,0.9,566
Killian Hayes,5837760,PG,21,27/07/2001,Detroit Pistons,76,10.3,2.9,6.2,1.4,0.4,2.3,2154
Jonathan Kuminga,5739840,PF,20,06/10/2002,Golden State Warriors,67,9.9,3.4,1.9,0.6,0.5,1.4,1394
Pat Connaughton,5728393,SF,30,06/01/1993,Milwaukee Bucks,61,7.6,4.6,1.3,0.6,0.2,0.5,1443
Tyler Herro,5722116,SG,23,20/01/2000,Miami Heat,67,20.1,5.4,4.2,0.8,0.2,2.4,2337
Romeo Langford,5634257,SG,23,25/10/1999,San Antonio Spurs,43,6.9,2.7,1.2,0.6,0.3,0.7,844
Dyson Daniels,5508600,PG,19,17/03/2003,New Orleans Pelicans,59,3.8,3.2,2.3,0.7,0.2,1,1042
JaVale McGee,5461219,C,35,19/01/1988,Dallas Mavericks,42,4.4,2.5,0.3,0.1,0.6,0.9,355
Goga Bitadze,5377520,C,23,20/07/1999,Orlando Magic,38,4.4,3.6,1,0.4,0.7,0.6,457
Obi Toppin,5348280,PF,24,04/03/1998,New York Knicks,67,7.4,2.8,1,0.3,0.2,0.6,1050
Franz Wagner,5258280,SF,21,27/08/2001,Orlando Magic,80,18.6,4.1,3.5,1,0.2,2.1,2609
Kendrick Nunn,5250000,SG,27,03/08/1995,Los Angeles Lakers,70,7.1,1.6,1.3,0.4,0.1,0.9,964
Hamidou Diallo,5200000,SF,24,31/07/1998,Detroit Pistons,56,9.3,3.5,1,0.9,0.3,1.3,996
Cory Joseph,5155500,PG,31,20/08/1991,Detroit Pistons,62,6.9,1.7,3.5,0.5,0.1,0.9,1227
Garrett Temple,5155500,SG,36,08/05/1986,New Orleans Pelicans,25,2,0.7,0.5,0.4,0.1,0.2,162
Torrey Craig,5121951,PF,32,19/12/1990,Phoenix Suns,79,7.4,5.4,1.5,0.6,0.8,0.9,1948
Jeremy Sochan,5063520,PF,19,20/05/2003,San Antonio Spurs,56,11,5.3,2.5,0.8,0.4,1.7,1458
Nickeil Alexander-Walker,5009633,SG,24,02/09/1998,Minnesota Timberwolves,59,6.2,1.7,1.8,0.5,0.4,0.9,884
Furkan Korkmaz,5000000,SG,25,24/07/1997,Philadelphia 76ers,37,3.8,1.1,0.6,0.3,0.1,0.6,353
Deni Avdija,4916160,SF,22,03/01/2001,Washington Wizards,76,9.2,6.4,2.8,0.9,0.4,1.6,2020
Davion Mitchell,4833600,PG,24,05/09/1998,Sacramento Kings,80,5.6,1.3,2.3,0.6,0.2,0.8,1447
Johnny Davis,4810320,SG,20,21/10/1955,Washington Wizards,28,5.8,2.3,1,0.4,0.3,0.6,423
Ty Jerome,4728948,SG,25,08/07/1997,Golden State Warriors,45,6.9,1.7,3,0.5,0.1,0.7,816
Jalen Smith,4670160,C,22,16/03/2000,Indiana Pacers,68,9.4,5.8,1,0.3,0.9,1.1,1279
Ziaire Williams,4591680,SF,21,12/09/2001,Memphis Grizzlies,37,5.7,2.1,0.9,0.4,0.2,1,561
Ousmane Dieng,4569840,PF,19,21/05/2003,Oklahoma City Thunder,39,4.9,2.7,1.2,0.4,0.2,0.7,569
Jeff Green,4500000,PF,36,28/08/1986,Denver Nuggets,56,7.8,2.6,1.2,0.3,0.3,0.8,1091
Donte DiVincenzo,4500000,SG,26,31/01/1997,Golden State Warriors,72,9.4,4.5,3.5,1.3,0.1,1.6,1894
Devin Vassell,4437000,SG,22,23/08/2000,San Antonio Spurs,38,18.5,3.9,3.6,1.1,0.4,1.5,1178
Matisse Thybulle,4379526,SF,25,04/03/1997,Philadelphia 76ers,71,4.1,2,0.7,1.2,0.5,0.3,1200
Jarred Vanderbilt,4374000,PF,23,03/04/1999,Los Angeles Lakers,78,7.9,7.5,2.4,1.1,0.3,1.2,1879
James Bouknight,4362240,SG,22,18/09/2000,Charlotte Hornets,34,5.6,2.1,1.2,0.4,0.1,0.9,515
Brandon Clarke,4343919,PF,26,19/09/1996,Memphis Grizzlies,56,10,5.5,1.3,0.6,0.7,1,1090
Jalen Williams,4341480,SG,21,14/04/2001,Oklahoma City Thunder,75,14.1,4.5,3.3,1.4,0.5,1.6,2276
Grant Williams,4306281,PF,24,30/11/1998,Boston Celtics,79,8.1,4.6,1.7,0.5,0.4,1,2045
Darius Bazley,4264628,C,22,12/06/2000,Oklahoma City Thunder,43,5.2,3.2,0.9,0.5,0.8,0.6,616
Tyrese Haliburton,4215120,PG,22,29/02/2000,Indiana Pacers,56,20.7,3.7,10.4,1.6,0.4,2.5,1883
Nassir Little,4171548,SF,22,11/02/2000,Portland Trail Blazers,54,6.6,2.6,0.9,0.4,0.4,0.7,976
Jalen Duren,4124280,C,19,18/11/2003,Detroit Pistons,67,9.1,8.9,1.1,0.7,0.9,1.4,1670
Gorgui Dieng,4105236,C,33,18/01/1990,San Antonio Spurs,31,3.9,3.5,1.7,0.1,0.5,1,358
Justise Winslow,4097561,PF,26,26/03/1996,Portland Trail Blazers,29,6.8,5,3.4,1,0.4,1.5,776
Dylan Windler,4037277,SF,26,22/09/1996,Cleveland Cavaliers,3,1.7,0,0.3,0.3,0,0.3,10
Stanley Johnson,4022164,SF,26,29/05/1996,San Antonio Spurs,30,5.8,3.2,2.2,0.5,0.2,1.1,469
George Hill,4000000,PG,36,04/05/1986,Milwaukee Bucks,46,5,1.8,2.4,0.6,0.1,0.7,834
